Quote#,Line,part_number,Process,Spec,minimum, Unit_Price ,Lead_Time, Line_Minimum ,Order_Minimum,Lot_charge,Vendor,Contact Email,notes,file location
,,5532179,Passivate ,QQ-P-35 TYPVI,65, $0.50 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,6384755-001,Anodize Clear,MIL-A-8625 TYPII CL1,65, $0.50 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,6384755-002,Anodize Clear,MIL-A-8625 TYPII CL1,65, $0.50 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,6384756,Black Anodize,MIL-A-8625 TYPII CL2,65, $1.10 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,6384757,Anodize Clear,MIL-A-8625 TYPII CL1,65, $0.50 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,6384758,Anodize Clear,MIL-A-8625 TYPII CL1,65, $0.60 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,6384764,Anodize Clear,MIL-A-8625 TYPII CL1,65, $0.50 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,6384765,Anodize Clear,MIL-A-8625 TYPII CL1,65, $0.60 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,6384766-001,Anodize Clear,MIL-A-8625 TYPII CL1,65, $0.50 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,6384767,Anodize Clear,MIL-A-8625 TYPII CL1,65, $0.50 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0022-62534,Passivate ,ASTM A967,65, $6.30 ,5,,,,CMT,dawn@cmtfinishing.com,Model,
,,6384781,Anodize Clear,MIL-A-8625 TYPII CL1,65, $1.75 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,6384766-002,Anodize Clear,MIL-A-8625 TYPII CL1,65, $0.50 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,620661,Black Anodize,MIL-A-8625 TYPII CL2,65, $6.50 ,5,,,,CMT,dawn@cmtfinishing.com,"Check these specs, the model was� weird.",
,,0022-01921,Anodize Clear,MIL-A-8625 TYPII CL1,65, $0.85 ,5,,,,CMT,dawn@cmtfinishing.com,Model,
,,0022-01922,Anodize Clear,MIL-A-8625 TYPII CL1,65, $0.50 ,5,,,,CMT,dawn@cmtfinishing.com,Model,
,,0020-79229,Anodize Clear,MIL-A-8625 TYPII CL1,65, $2.50 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0020-79230,Anodize Clear,MIL-A-8625 TYPII CL1,65, $7.00 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0022-02566,Passivate ,ASTM A967,65, $0.60 ,5,,,,CMT,dawn@cmtfinishing.com,Model,
,,0041-53333,Anodize Clear,MIL-A-8625 TYPII CL1,65, $4.40 ,5,,,,CMT,dawn@cmtfinishing.com,Model,
,,0270-12528,Clean,0250-70351,75, $7.00 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0270-12527,Clean,0250-70351,75, $7.00 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0022-79576,Passivate ,QQ-P-35 TYPVI,65, $1.50 ,5,,,,CMT,dawn@cmtfinishing.com,Model,
,,0022-79430,Passivate ,ASTM A967,65, $2.70 ,5,,,,CMT,dawn@cmtfinishing.com,"Tanks designed for 300 series SST, may want to send a test part before running a production line.",
,,0042-12372,Clean,0250-09720,75, $30.25 ,5,,,,CMT,dawn@cmtfinishing.com,Model,
,,0022-01919,Anodize Clear,MIL-A-8625 TYPII CL1,65, $1.25 ,5,,,,CMT,dawn@cmtfinishing.com,Model,
,,0041-53334,Anodize Clear,MIL-A-8625 TYPII CL1,65, $2.50 ,5,,,,CMT,dawn@cmtfinishing.com,Model,
,,0042-32102,Chromate Clear,MIL-C-5541 CL3,65, $1.25 ,5,,,,CMT,dawn@cmtfinishing.com,Model,
,,0042-26011,Chromate Clear,MIL-DTL-5541 TYPII CL3,65, $1.65 ,5,,,,CMT,dawn@cmtfinishing.com,Model,
,,0042-30784,Chromate Clear,MIL-C-5541 TYPII CL3,65, $6.25 ,5,,,,CMT,dawn@cmtfinishing.com,Model,
,,0042-27647,Chromate Clear,MIL-C-5541 TYPII CL3,65, $10.00 ,5,,,,CMT,dawn@cmtfinishing.com,Model,
,,620735-100-D01,Black Anodize,MIL-A-8625 TYPII CL2,65, $2.75 ,5,,,,CMT,dawn@cmtfinishing.com,Model,
,,620735-200,Black Anodize,MIL-A-8625 TYPII CL2,65, $3.00 ,5,,,,CMT,dawn@cmtfinishing.com,Model,
,,620735-D01,Black Anodize,MIL-A-8625 TYPII CL2,65, $2.60 ,5,,,,CMT,dawn@cmtfinishing.com,Model,
,,620737-D01,Black Anodize,MIL-A-8625 TYPII CL2,65, $2.80 ,5,,,,CMT,dawn@cmtfinishing.com,Model,
,,620905-D01,Black Anodize,MIL-A-8625 TYPII CL2,65, $1.45 ,5,,,,CMT,dawn@cmtfinishing.com,Model,
,,621064-001-D01,Black Anodize,MIL-A-8625 TYPII CL2,65, $12.50 ,5,,,,CMT,dawn@cmtfinishing.com,Model,
,,621456,Black Anodize,MIL-A-8625 TYPII CL2,65, $4.25 ,5,,,,CMT,dawn@cmtfinishing.com,Model,
,,621482,Black Anodize,MIL-A-8625 TYPII CL2,65, $2.50 ,5,,,,CMT,dawn@cmtfinishing.com,Model,
,,621488,Black Anodize,MIL-A-8625 TYPII CL2,65, $1.90 ,5,,,,CMT,dawn@cmtfinishing.com,Model,
,,620951-200-D01 ,Black Anodize,MIL-A-8625 TYPII CL2,65, $5.65 ,5,,,,CMT,dawn@cmtfinishing.com,Model,
,,620955-200-D01 ,Black Anodize,MIL-A-8625 TYPII CL2,60, $0.65 ,5,,,,CMT,dawn@cmtfinishing.com,Model,
,,0250-10351,Clean,0250-10351 TYPI,75, $23.10 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0045-00899,Clean,0250-20000 APPA,75, $59.80 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0042-34393,Chromate Clear,MIL-DTL-5541 CL1A,65, $20.85 ,5,,,,CMT,dawn@cmtfinishing.com,Model,
,,0042-34547,Clean,0250-70351 TYPI,75, $4.50 ,5,,,,CMT,dawn@cmtfinishing.com,Model,
,,0022-80090,Clean,0250-70351 TYPI,75, $4.50 ,5,,,,CMT,dawn@cmtfinishing.com,Model,
,,0042-34548,Clean,0250-29357,75, $68.50 ,5,,,,CMT,dawn@cmtfinishing.com,Model,
,,0021-09606,Chromate Gold,MIL-C-5541 CL3,65, $0.80 ,5,,,,CMT,dawn@cmtfinishing.com,Model,
,,0020-77377,Passivate ,ASTM A967,65, $0.80 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0022-80283,Clean,0250-09720,75, $14.50 ,5,,,,CMT,dawn@cmtfinishing.com,Model,
,,17-141129-00,Passivate ,ASTM A967,65, $0.60 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0040-60953,Clean,0250-70351 TYPI,75, $19.45 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0022-23761,Clean,0250-09720,75, $3.00 ,5,,,,CMT,dawn@cmtfinishing.com,Model,
,,0042-33186,Clean,0250-70351 TYPI,75, $61.50 ,5,,,,CMT,dawn@cmtfinishing.com,Model,
,,0042-34380,Clean,0250-70351 TYPI,75, $115.30 ,5,,,,CMT,dawn@cmtfinishing.com,Model,
,,0042-34674,Clean,0250-29357,75, $27.50 ,5,,,,CMT,dawn@cmtfinishing.com,Model,
,,0042-34676,Clean,0250-29357,75, $33.85 ,5,,,,CMT,dawn@cmtfinishing.com,Model,
,,0041-38198,Clean,0250-70351 TYPI,75, $3.00 ,5,,,,CMT,dawn@cmtfinishing.com,Model,
,,0040-87571,Clean,0250-70351 TYPI,75, $133.40 ,5,,,,CMT,dawn@cmtfinishing.com,Model,
,,0040-84526,Clean,0250-70351 TYPI,75, $15.00 ,5,,,,CMT,dawn@cmtfinishing.com,Model,
,,0040-76070,Zinc Plate Gold,ASTM B633 TYPII,65, $18.75 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0040-75487,Chromate Gold,MIL-C-5541 CL1A,65, $10.00 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0040-75222,Zinc Plate Gold,ASTM B633 TYPII,65, $25.00 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0040-75192,Zinc Plate Gold,ASTM B633 TYPII,65, $33.35 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0040-63746,Zinc Plate Gold,ASTM B633 TYPII,65, $1.50 ,5,,,,CMT,dawn@cmtfinishing.com,Model,
,,0040-54830,Passivate ,ASTM A967 NITRIC2,65, $0.50 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0040-54612,Chromate Gold,MIL-C-5541 CL1A,65, $7.15 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0040-36327,Black Anodize,MIL-A-8625 TYPII CL2,65, $8.50 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0040-22083,Zinc Plate Gold,ASTM B633 TYPII,65, $0.50 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0040-21331,Zinc Plate Gold,ASTM B633 TYPII,65, $15.00 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0040-13690,Zinc Plate Gold,ASTM B633 TYPII,65, $0.80 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0040-62491,Chromate Gold,MIL-C-5541,65, $7.25 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,705480,Chromate Gold,MIL-C-5541,65, $0.55 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0042-34452,Clean,0250-20000 APPD,75, $11.50 ,5,,,,CMT,dawn@cmtfinishing.com,Model,
,,0042-34905,Clean,0250-20000 APPD,75, $12.50 ,5,,,,CMT,dawn@cmtfinishing.com,Model,
,,0042-34826,Clean,0250-20000 APPD,75, $10.00 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0022-80400,Clean,0250-70351 TYPI,75, $16.65 ,5,,,,CMT,dawn@cmtfinishing.com,Model,
,,0042-34876,Clean,0250-70351 TYPI,75, $5.75 ,5,,,,CMT,dawn@cmtfinishing.com,Model,
,,0022-10222,Clean,0250-20000 APPA,75, $32.25 ,5,,,,CMT,dawn@cmtfinishing.com,Model,
,,0041-96360,Clean,0250-70351 TYPI,75, $4.50 ,5,,,,CMT,dawn@cmtfinishing.com,Model,
,,0041-98801,Clean,0250-70351 TYPI,75, $3.00 ,5,,,,CMT,dawn@cmtfinishing.com,Model,
,,707214-1,Tin Plating,MIL-T-10727 TYPI,75, $4.50 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0270-07586,Clean,0250-70351 TYPII,75, $3.00 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0041-60317,Anodize Clear,MIL-A-8625 TYPII CL1,65, $2.00 ,5,,,,CMT,dawn@cmtfinishing.com,Model,
,,17-150039-00 Item17,Chromate Clear,MIL-C-5541 CL3,65, $1.40 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0040-54612,Clean,0250-09720,75, $7.10 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0040-61463,Electropolish,0250-13605 TYPI CL1B,150, $25.00 ,5,,,,Harrison,matthewb@harrisonep.com,Model,
,,0041-48941,Electropolish,0250-13605 TYPI CL1B,150, $5.00 ,5,,,,Harrison,matthewb@harrisonep.com,Model,
,,0040-87571,Electropolish,0250-13605 TYPIII CL2,150, $58.00 ,5,,,,Harrison,matthewb@harrisonep.com,Model,
,,0042-32060,Clean,0250-20000 APPD,75, $175.30 ,5,,,,CMT,dawn@cmtfinishing.com,Model,
,,0042-32059,Clean,0250-20000 APPD,75, $402.50 ,5,,,,CMT,dawn@cmtfinishing.com,Model,
,,0042-17708,Clean,0250-70351 TYPI,75, $8.00 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0020-20002,Tin Plating,MIL-T-10727 TYPI,75, $2.00 ,5,,,,CMT,dawn@cmtfinishing.com,Model,
,,0020-23687,Clean,0250-70351 TYPI,75, $3.00 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0020-24828,Anodize Clear,MIL-A-8625 TYPII CL1,65, $1.00 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0020-34021,Chromate Clear,MIL-C-8625 CL3,65, $0.50 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0020-37196,Zinc Plate Gold,ASTM B633 TYPII,65, $10.00 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0020-46239,Passivate ,QQ-P-35 TYPII,65, $0.55 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0020-53557,Clean,0250-20000 APPA,75, $6.50 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0020-53558,Clean,0250-20000 APPA,75, $6.50 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0020-53568,Clean,0250-20000 APPA,75, $17.70 ,5,,,,CMT,dawn@cmtfinishing.com,Model,
,,0020-62090,Electropolish,,75, $5.00 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0020-62091,Electropolish,,75, $10.90 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0020-75142,Black Anodize,MIL-A-6825 TYPII CL2,65, $7.50 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0020-75702,Tin Plating,MIL-T-10727 TYPI,75, $7.40 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0020-76979,Zinc Plate Black,ASTM B633 TYPII,65, $0.55 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0020-84088,Black Anodize,MIL-A-8625 TYPII CL2,65, $7.50 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0021-00069,Zinc Plate Black,QQ-Z-325 TYPII CL2,65, $1.75 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0021-11052,Clean,0250-70351 TYPI,75, $3.00 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0021-12652,Clean,0250-70351 TYPI,75, $3.00 ,5,,,,CMT,dawn@cmtfinishing.com,Model,
,,0021-13217,Zinc Plate Clear,ASTM B633 TYPIII,65, $2.50 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0021-81434,Clean,0250-20000 APPD,75, $4.70 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0022-13988,Clean,0250-70351,75, $5.20 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0042-25457,Electropolish,,, $49.00 ,5,,,,Harrison,matthewb@harrisonep.com,,
,,0042-25456,Electropolish,,, $49.00 ,5,,,,Harrison,matthewb@harrisonep.com,,
,,0020-52805,Electropolish,,, $5.00 ,5,,,,Harrison,matthewb@harrisonep.com,Model,
,,0020-53557,Electropolish,,, $5.00 ,5,,,,Harrison,matthewb@harrisonep.com,,
,,0020-53558,Electropolish,,, $5.00 ,5,,,,Harrison,matthewb@harrisonep.com,,
,,0020-53568,Electropolish,,, $14.50 ,5,,,,Harrison,matthewb@harrisonep.com,Model,
,,0021-77634,Electropolish,,, $5.00 ,5,,,,Harrison,matthewb@harrisonep.com,,
,,0021-79550,Electropolish,,, $65.00 ,5,,,,Harrison,matthewb@harrisonep.com,,
,,0022-06891,Electropolish,,, $5.00 ,5,,,,Harrison,matthewb@harrisonep.com,Model,
,,0020-42052,Clean,0250-70351 TYPI,75, $3.00 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0020-42087,Clean,0250-70351 TYPI,75, $3.00 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0021-22481,Tin Plating,MIL-T-10727 TYPI,75, $15.85 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0021-22483,Tin Plating,MIL-T-10727 TYPI,75, $15.85 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0021-22504,Zinc Plate Gold,ASTM B633 TYPII,65, $16.65 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0020-18520,Clean,0250-70351 TYPI,75, $56.55 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0041-91882,Zinc Plate Clear,ASTM B633 TYPIII,65, $1.65 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0042-08507,Zinc Plate Clear,ASTM B633 TYPIII,65, $7.75 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0042-08506,Zinc Plate Clear,ASTM B633 TYPIII,65, $7.75 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0022-38846,Zinc Plate Clear,ASTM B633 TYPIII,65, $1.00 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0042-08508,Zinc Plate Clear,ASTM B633 TYPIII,65, $0.60 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,3014-0010-05,Chromate Gold,MIL-C-5541 CL 1A,65, $0.55 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,201997597,Chromate Clear,MIL-DTL-5541 TYPII CL1A,65, $0.50 ,5,,,,CMT,dawn@cmtfinishing.com,Model,
,,201997601,Passivate ,,65, $0.50 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,201997669,Chromate Clear,MIL-DTL-5541 TYPII CL1A,65, $0.55 ,5,,,,CMT,dawn@cmtfinishing.com,Model,
,,201997671,Chromate Clear,MIL-DTL-5541 TYPII CL1A,65, $0.50 ,5,,,,CMT,dawn@cmtfinishing.com,Model,
,,0020-29449,Texturize Clean,0250-20000 APPG,, $75.00 ,5,,,,Pentagon,Quotes@pen-tec.com,,
,,0021-78608,Electropolish,,150, $75.00 ,5,,,,Harrison,matthewb@harrisonep.com,Model,
,,714-802815-002,Chromate Clear,MIL-C-5541 CL3,65, $1.50 ,5,,,,CMT,dawn@cmtfinishing.com,Model,
,,714-141816-021,Chromate Clear,MIL-DTL-5541 TYPII CL3,65, $3.85 ,5,,,,CMT,dawn@cmtfinishing.com,Model,
,,714-141816-019,Chromate Clear,MIL-DTL-5541 TYPII CL3,65, $7.35 ,5,,,,CMT,dawn@cmtfinishing.com,Model,
,,3516724,Chromate Gold,MIL-C-5541 CL1A,65, $0.70 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0021-27472,Clean,0250-20000 APPA,75, $3.00 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,01-1050629,Electropolish,Flash,, $7.50 ,5,,,,Harrison,matthewb@harrisonep.com,,
,,01-1050639,Electropolish,Flash,, $3.00 ,5,,,,Harrison,matthewb@harrisonep.com,,
,,01-1050640,Electropolish,Flash,, $3.00 ,5,,,,Harrison,matthewb@harrisonep.com,,
,,3014-0023-05,Chromate Gold,MIL-DTL-5541 TYP I CL3,, $0.60 ,5,,,,,#N/A,,
,,3014-0042-06,Chromate Gold,MIL-DTL-5541 TYP I CL3,, $0.60 ,5,,,,,#N/A,,
,,2322928,Passivate ,ASTM A380,, $78.00 ,5,,,,,#N/A,,
,,0022-80668,Clean,0250-70351 TYPI,75, $13.85 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0042-35355,Clean,0250-29357,75, $7.50 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0022-81055,Clean,0250-29357,75, $5.20 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0022-54764,Clean,0250-70351 TYPI,185, $25.00 ,5,,,,Pentagon,Quotes@pen-tec.com,Pentagon PDF email.,
,,0022-22113,Zinc Plate Clear,ASTM B633 TYPIII,65, $0.80 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0041-87569,Zinc Plate Clear,ASTM B633 TYPIII,65, $12.50 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0040-01093   ,Zinc Plate Gold,ASTM B633 TYPII,65, $1.60 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0040-13684   ,Zinc Plate Gold,ASTM B633 TYPII,65, $0.65 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0040-13688   ,Zinc Plate Gold,ASTM B633 TYPII,65, $3.85 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0040-13690   ,Zinc Plate Gold,ASTM B633 TYPII,65, $0.80 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0020-05201   ,Black Anodize,MIL-A-8625 TYPII CL2,65, $18.75 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0020-05988   ,Zinc Plate Gold,ASTM B633 TYPII,65, $2.65 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0020-05989   ,Zinc Plate Gold,ASTM B633 TYPII,65, $2.65 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0020-05990   ,Zinc Plate Clear,ASTM B633 TYPIII,65, $0.80 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0021-76388   ,Zinc Plate Clear,ASTM B633 TYPIII,65, $3.15 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0040-00997   ,Zinc Plate Clear,ASTM B633 TYPIII,65, $12.50 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0020-24319   ,Zinc Plate Clear,ASTM B633 TYPIII,65, $0.60 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,457-17721-00,Anodize Clear,MIL-A-8625 TYPII CL1,65, $0.50 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0022-43906,Clean,0250-20000 APPD,75, $31.00 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0040-39975,Passivate ,ASTM A967 NITRIC2,65, $15.85 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0050-75471 Item 1,Clean,0250-20000 APPA,75, $3.00 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0050-75470 Item ,Clean,0250-20000 APPA,75, $3.00 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0040-13691,Zinc Plate Clear,ASTM B633 TYPIII,65, $4.50 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0040-41126,Zinc Plate Gold,ASTM B633 TYPII,65, $5.50 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0022-80680,Clean,0250-20000 APPA,75, $3.00 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,E170265200,Black Anodize,MIL-A-8625 TYPII CL2,65, $5.00 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0021-01569,Clean,0250-20000 APPD,75, $13.50 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,131102-3277,Chromate Clear,MIL-DTL-5541 TYPII CL3,65, $0.50 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,131102-3275,Chromate Clear,MIL-DTL-5541 TYPII CL3,65, $6.25 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,131102-3270,Chromate Gold,MIL-DTL-5541 TYPI CL3,65, $18.50 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0041-87351,Zinc Plate Clear,ASTM B633 TYPIII,65, $3.00 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,715-237301-016,Passivate ,ASTM A967 NITRIC2,65, $0.50 ,5,,,,,#N/A,,
,,715-240257-105,Passivate ,ASTM A967 NITRIC2,65, $0.50 ,5,,,,,#N/A,,
,,2012-0505-05,Chromate Gold,MIL-C-5541 CL3,65, $3.00 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0022-21859,Clean,0250-20000 APPD,75, $69.85 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0040-40935,Clean,0250-20000 APPD,75, $54.65 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0021-27229,Clean,0250-70351 TYPI,75, $3.00 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0040-40159,Clean,0250-20000 APPD,75, $15.30 ,5,,,,,#N/A,,
,,0021-18095,Clean,0250-70351 TYPI,75, $3.00 ,5,,,,CMT,dawn@cmtfinishing.com,,
